Tag Type,Tag Id,Time (UTC),RSSI,Latitude,Longitude,beep_number,tagFamily,payloadType,solar_mV,temperature_C
userLocation,user,2025-05-27 19:50:10.039587Z,0,39.001067,-74.914437
radio434mhz,071E6661,2025-05-27 19:50:10.297520Z,-107,39.001067,-74.914437
bluetooth,77AAF9E2,2025-05-27 19:50:10.882153Z,-82,39.001067,-74.914437,39040,1,0,1617,25.72
radio434mhz,1E336107,2025-05-27 19:50:11.320953Z,-83,39.001069,-74.914438
bluetooth,77AAF9E2,2025-05-27 19:50:11.663014Z,-84,39.001069,-74.914438,25035,1,0,1617,25.62
bluetooth,870614B1,2025-05-27 19:50:11.857771Z,-68,39.001069,-74.914438,53948,2,0,1563,21.43
radio434mhz,071E6661,2025-05-27 19:50:13.465909Z,-108,39.001070,-74.914441
bluetooth,23D9727E,2025-05-27 19:50:15.758121Z,-58,39.001070,-74.914440,47953,2,0,1554,33.68
radio434mhz,1E336107,2025-05-27 19:50:16.541121Z,-83,39.001070,-74.914439
radio434mhz,071E6661,2025-05-27 19:50:16.586405Z,-107,39.001070,-74.914439
bluetooth,870614B1,2025-05-27 19:50:17.854093Z,-67,39.001069,-74.914439,63401,2,0,1563,21.43
bluetooth,23D9727E,2025-05-27 19:50:18.829517Z,-59,39.001069,-74.914439,45077,2,0,1555,33.38
radio434mhz,071E6661,2025-05-27 19:50:19.754745Z,-108,39.001068,-74.914440
userLocation,user,2025-05-27 19:50:20.028505Z,0,39.001068,-74.914440
bluetooth,B78FE24A,2025-05-27 19:50:20.584233Z,-85,39.001068,-74.914440,1813,1,0,1850,24.76
bluetooth,870614B1,2025-05-27 19:50:20.925466Z,-68,39.001068,-74.914440,26698,2,0,1563,21.53
radio434mhz,1E336107,2025-05-27 19:50:21.753848Z,-83,39.001068,-74.914439
bluetooth,23D9727E,2025-05-27 19:50:21.899741Z,-60,39.001068,-74.914439,44096,2,0,1553,33.28
bluetooth,2172633A,2025-05-27 19:50:22.338513Z,-83,39.001068,-74.914439,3645,2,0,1563,22.26
radio434mhz,071E6661,2025-05-27 19:50:22.923501Z,-106,39.001068,-74.914439
bluetooth,870614B1,2025-05-27 19:50:24.045272Z,-68,39.001068,-74.914439,41839,2,0,1563,21.55
bluetooth,23D9727E,2025-05-27 19:50:24.922394Z,-59,39.001068,-74.914439,38115,2,0,1555,33.46
radio434mhz,071E6661,2025-05-27 19:50:26.092222Z,-107,39.001068,-74.914439
bluetooth,870614B1,2025-05-27 19:50:27.018591Z,-66,39.001068,-74.914439,55534,2,0,1562,21.53
radio434mhz,1E336107,2025-05-27 19:50:27.019635Z,-83,39.001068,-74.914439
bluetooth,23D9727E,2025-05-27 19:50:27.993689Z,-60,39.001068,-74.914439,39929,2,0,1555,33.46
radio434mhz,071E6661,2025-05-27 19:50:29.261308Z,-107,39.001065,-74.914420
bluetooth,870614B1,2025-05-27 19:50:29.992400Z,-68,39.001065,-74.914420,20121,2,0,1562,21.38
userLocation,user,2025-05-27 19:50:30.030393Z,0,39.001065,-74.914420
bluetooth,77AAF9E2,2025-05-27 19:50:30.431159Z,-84,39.001065,-74.914420,63331,1,0,1617,26.08
bluetooth,B78FE24A,2025-05-27 19:50:30.626033Z,-85,39.001065,-74.914420,34439,1,0,1849,24.66
bluetooth,23D9727E,2025-05-27 19:50:31.113801Z,-58,39.001065,-74.914420,34498,2,0,1555,33.46
bluetooth,77AAF9E2,2025-05-27 19:50:31.991723Z,-82,39.001065,-74.914420,47481,1,0,1616,25.70
radio434mhz,1E336107,2025-05-27 19:50:32.234482Z,-84,39.001065,-74.914420
radio434mhz,071E6661,2025-05-27 19:50:32.430255Z,-107,39.001065,-74.914420
bluetooth,870614B1,2025-05-27 19:50:33.015132Z,-67,39.001065,-74.914420,54102,2,0,1562,21.53
bluetooth,77AAF9E2,2025-05-27 19:50:33.551859Z,-83,39.001065,-74.914420,7796,1,0,1617,25.70
bluetooth,E2A807D7,2025-05-27 19:50:33.648745Z,-82,39.001065,-74.914420,20783,1,0,1882,23.98
bluetooth,23D9727E,2025-05-27 19:50:34.136821Z,-59,39.001065,-74.914420,59148,2,0,1554,33.63
bluetooth,2172633A,2025-05-27 19:50:34.380570Z,-83,39.001065,-74.914420,29980,2,0,1563,22.54
bluetooth,B78FE24A,2025-05-27 19:50:34.721409Z,-85,39.001065,-74.914420,3092,1,0,1849,24.76
radio434mhz,071E6661,2025-05-27 19:50:35.598478Z,-107,39.001063,-74.914403
bluetooth,870614B1,2025-05-27 19:50:36.038112Z,-69,39.001064,-74.914403,54978,2,0,1563,21.58
bluetooth,23D9727E,2025-05-27 19:50:37.159343Z,-59,39.001064,-74.914404,61198,2,0,1555,33.61
radio434mhz,1E336107,2025-05-27 19:50:37.499808Z,-84,39.001064,-74.914404
radio434mhz,071E6661,2025-05-27 19:50:38.767317Z,-106,39.001064,-74.914403
bluetooth,77AAF9E2,2025-05-27 19:50:39.840569Z,-83,39.001064,-74.914402,50727,1,0,1615,25.80
userLocation,user,2025-05-27 19:50:40.028563Z,0,39.001063,-74.914402
bluetooth,23D9727E,2025-05-27 19:50:40.181849Z,-59,39.001063,-74.914402,62151,2,0,1555,33.48
bluetooth,B78FE24A,2025-05-27 19:50:40.718208Z,-84,39.001063,-74.914402,40105,1,0,1849,24.43
radio434mhz,071E6661,2025-05-27 19:50:41.935960Z,-108,39.001063,-74.914402
bluetooth,870614B1,2025-05-27 19:50:42.083139Z,-68,39.001063,-74.914402,9991,2,0,1562,21.53
radio434mhz,1E336107,2025-05-27 19:50:42.668072Z,-84,39.001063,-74.914402
bluetooth,77AAF9E2,2025-05-27 19:50:43.009262Z,-83,39.001063,-74.914402,53940,1,0,1617,25.75
bluetooth,23D9727E,2025-05-27 19:50:43.252945Z,-58,39.001063,-74.914403,63952,2,0,1553,33.53
bluetooth,870614B1,2025-05-27 19:50:45.104916Z,-69,39.001063,-74.914402,26199,2,0,1562,21.33
radio434mhz,071E6661,2025-05-27 19:50:45.299835Z,-107,39.001063,-74.914402
bluetooth,23D9727E,2025-05-27 19:50:46.323777Z,-59,39.001062,-74.914402,50138,2,0,1554,33.38
radio434mhz,1E336107,2025-05-27 19:50:47.882824Z,-84,39.001062,-74.914402
bluetooth,07F9389E,2025-05-27 19:50:48.322611Z,-82,39.001062,-74.914402,9949,2,0,1542,25.77
radio434mhz,071E6661,2025-05-27 19:50:48.517302Z,-107,39.001062,-74.914402
bluetooth,23D9727E,2025-05-27 19:50:49.346543Z,-59,39.001062,-74.914402,53898,2,0,1554,33.48
userLocation,user,2025-05-27 19:50:50.034623Z,0,39.001062,-74.914401
bluetooth,870614B1,2025-05-27 19:50:51.149846Z,-68,39.001062,-74.914401,24748,2,0,1562,21.43
radio434mhz,071E6661,2025-05-27 19:50:51.638116Z,-106,39.001062,-74.914401
bluetooth,23D9727E,2025-05-27 19:50:52.418165Z,-60,39.001062,-74.914401,54074,2,0,1554,33.53
radio434mhz,1E336107,2025-05-27 19:50:53.099869Z,-84,39.001062,-74.914401
bluetooth,77AAF9E2,2025-05-27 19:50:53.148577Z,-85,39.001062,-74.914401,58027,1,0,1618,25.45
bluetooth,07F9389E,2025-05-27 19:50:53.343737Z,-83,39.001062,-74.914401,32121,2,0,1542,25.52
bluetooth,870614B1,2025-05-27 19:50:54.172903Z,-68,39.001062,-74.914401,57265,2,0,1562,21.50
bluetooth,77AAF9E2,2025-05-27 19:50:54.660302Z,-83,39.001062,-74.914401,5552,1,0,1618,25.57
radio434mhz,071E6661,2025-05-27 19:50:54.806664Z,-108,39.001062,-74.914401
bluetooth,23D9727E,2025-05-27 19:50:55.489504Z,-59,39.001062,-74.914401,5065,2,0,1554,33.48
bluetooth,870614B1,2025-05-27 19:50:57.195117Z,-69,39.001062,-74.914401,12804,2,0,1562,21.65
radio434mhz,071E6661,2025-05-27 19:50:57.975041Z,-107,39.001062,-74.914401
radio434mhz,1E336107,2025-05-27 19:50:58.316216Z,-84,39.001063,-74.914401
bluetooth,23D9727E,2025-05-27 19:50:58.560308Z,-58,39.001063,-74.914401,509,2,0,1554,33.48
userLocation,user,2025-05-27 19:51:00.029030Z,0,39.001063,-74.914401
