recorded at,gps at,latitude,longitude,altitude,quality,mean lat,mean lng,n fixes
2025-05-27 20:25:51,2025-05-27 20:25:50,39.001067,-74.913980,9.971,3,39.001067,-74.913980,50
2025-05-27 20:40:51,2025-05-27 20:40:50,39.001048,-74.914029,9.863,3,39.001048,-74.914029,50
