Time,RadioId,TagId,TagRSSI,NodeId,Validated
2024-08-12 19:37:38,4,34616607,-97,,1
2024-08-12 19:37:38,5,34616607,-96,,1
2024-08-12 19:37:38,1,34616607,-101,,1
2024-08-12 19:37:38,2,34616607,-106,,1
2024-08-12 19:37:38,3,34616607,-103,,1
2024-08-12 19:37:38,2,52662D4C,-108,,1
2024-08-12 19:37:38,5,52662D4C,-107,,1
2024-08-12 19:37:38,4,52662D4C,-107,,1
2024-08-12 19:37:38,3,52662D4C,-106,,1
2024-08-12 19:37:38,1,52662D4C,-107,,1
2024-08-12 19:37:38,2,2A330752,-106,,1
2024-08-12 19:37:38,5,2A330752,-98,,1
2024-08-12 19:37:38,4,2A330752,-100,,1
2024-08-12 19:37:38,3,2A330752,-104,,1
2024-08-12 19:37:38,1,2A330752,-103,,1
2024-08-12 19:37:38,1,192A6152,-102,,1
2024-08-12 19:37:38,2,192D614B,-109,,1
2024-08-12 19:37:38,5,192D614B,-105,,1
2024-08-12 19:37:38,4,192D614B,-103,,1
2024-08-12 19:37:38,1,192D614B,-107,,1
2024-08-12 19:37:39,4,19550755,-108,,1
2024-08-12 19:37:39,5,4C4B4C4C,-106,,1
2024-08-12 19:37:39,3,2A193452,-110,,1
2024-08-12 19:37:39,1,2A193452,-108,,1
2024-08-12 19:37:39,4,4C55072A,-98,,0
2024-08-12 19:37:39,5,4C55072A,-97,,0
2024-08-12 19:37:39,1,4C55072A,-101,,0
2024-08-12 19:37:39,3,4C55072A,-101,,0
2024-08-12 19:37:39,2,4C55072A,-103,,0
2024-08-12 19:37:39,4,1E4C7FFF,-104,,0
2024-08-12 19:37:39,5,1E4C7FFF,-102,,0
2024-08-12 19:37:39,1,1E4C7FFF,-105,,0
2024-08-12 19:37:39,1,784B332D,-106,,1
2024-08-12 19:37:39,4,2A665578,-104,,1
2024-08-12 19:37:39,5,2A665578,-104,,1
2024-08-12 19:37:39,4,2A55614C,-107,,1
2024-08-12 19:37:39,5,2A55614C,-103,,1
2024-08-12 19:37:39,3,66552A34,-104,,1
2024-08-12 19:37:39,5,66552A34,-98,,1
2024-08-12 19:37:39,2,66552A34,-104,,1
2024-08-12 19:37:39,1,66552A34,-99,,1
2024-08-12 19:37:39,4,66552A34,-97,,1
2024-08-12 19:37:39,5,34554B55,-103,,1
2024-08-12 19:37:39,4,34554B55,-102,,1
2024-08-12 19:37:39,5,2A783366,-111,,1
2024-08-12 19:37:39,3,331E4C55,-105,,0
2024-08-12 19:37:39,1,331E4C55,-100,,0
2024-08-12 19:37:39,4,331E4C55,-106,,0
2024-08-12 19:37:39,2,331E4C55,-103,,0
2024-08-12 19:37:39,5,331E4C55,-107,,0
2024-08-12 19:37:39,5,552D5261,-109,,1
2024-08-12 19:37:39,2,552D5261,-111,,1
2024-08-12 19:37:39,1,78073378,-108,,1
2024-08-12 19:37:39,4,78073378,-108,,1
2024-08-12 19:37:39,5,78073378,-107,,1
2024-08-12 19:37:39,3,78073378,-108,,1
2024-08-12 19:37:39,2,071E6661,-95,,0
2024-08-12 19:37:39,5,071E6661,-92,,0
2024-08-12 19:37:39,3,071E6661,-95,,0
2024-08-12 19:37:39,1,071E6661,-93,,0
2024-08-12 19:37:39,4,071E6661,-91,,0
2024-08-12 19:37:39,4,61074B2D,-108,,1
2024-08-12 19:37:39,5,61074B2D,-110,,1
2024-08-12 19:37:39,4,2A192D2A,-109,,1
2024-08-12 19:37:39,5,2A192D2A,-108,,1
2024-08-12 19:37:40,1,52332D4B,-108,,1
2024-08-12 19:37:40,5,52332D4B,-107,,1
2024-08-12 19:37:40,3,4C2A2D33,-107,,1
2024-08-12 19:37:40,1,4C2A2D33,-107,,1
2024-08-12 19:37:40,2,4C2A2D33,-106,,1
2024-08-12 19:37:40,5,4C2A2D33,-106,,1
2024-08-12 19:37:40,5,524B5219,-108,,1
2024-08-12 19:37:40,3,524B5219,-110,,1
2024-08-12 19:37:40,1,524B5219,-104,,1
2024-08-12 19:37:40,2,524B5219,-106,,1
2024-08-12 19:37:40,5,07551E2D,-108,,1
2024-08-12 19:37:40,1,55334B1E,-109,,1
2024-08-12 19:37:40,5,55334B1E,-107,,1
2024-08-12 19:37:40,5,4C341E33,-107,,1
2024-08-12 19:37:40,3,66194C78,-108,,1
2024-08-12 19:37:40,2,66194C78,-108,,1
2024-08-12 19:37:40,1,66194C78,-104,,1
2024-08-12 19:37:40,4,66194C78,-103,,1
2024-08-12 19:37:40,5,66194C78,-106,,1
2024-08-12 19:37:40,4,551E2D4C,-108,,1
2024-08-12 19:37:40,1,07073319,-105,,1
2024-08-12 19:37:40,4,4C4BAA61,-107,,0
2024-08-12 19:37:40,5,4C4B2A61,-107,,1
2024-08-12 19:37:40,4,4C52784C,-101,,1
2024-08-12 19:37:40,2,4C52784C,-103,,1
2024-08-12 19:37:40,5,4C52784C,-99,,1
2024-08-12 19:37:40,3,4C52784C,-103,,1
2024-08-12 19:37:40,1,4C52784C,-99,,1
2024-08-12 19:37:40,4,4B781961,-103,,0
2024-08-12 19:37:40,3,4B781961,-105,,0
2024-08-12 19:37:40,5,4B781961,-103,,0
2024-08-12 19:37:40,2,4B781961,-106,,0
2024-08-12 19:37:40,1,4B781961,-101,,0
2024-08-12 19:37:40,4,66781E78,-107,,1
2024-08-12 19:37:40,5,66781E78,-105,,1
2024-08-12 19:37:41,5,2A33551E,-102,,1
2024-08-12 19:37:41,4,2A33551E,-103,,1
2024-08-12 19:37:41,3,34784B19,-97,,0
2024-08-12 19:37:41,1,34784B19,-91,,0
2024-08-12 19:37:41,4,34784B19,-97,,0
2024-08-12 19:37:41,2,34784B19,-95,,0
2024-08-12 19:37:41,2,19552D07,-110,,1
2024-08-12 19:37:41,4,55524B2D,-105,,1
2024-08-12 19:37:41,5,55524B2D,-108,,1
2024-08-12 19:37:41,4,07876607,-108,,0
2024-08-12 19:37:41,5,07076607,-108,,1
2024-08-12 19:37:41,4,19342A66,-107,,1
2024-08-12 19:37:41,5,19342A66,-103,,1
2024-08-12 19:37:41,4,2D2D2A4B,-105,,1
2024-08-12 19:37:41,5,2D2D2A4B,-107,,1
2024-08-12 19:37:41,4,34342D2A,-103,,1
2024-08-12 19:37:41,5,34342D2A,-101,,1
2024-08-12 19:37:41,2,34342D2A,-107,,1
2024-08-12 19:37:41,1,34342D2A,-103,,1
2024-08-12 19:37:41,3,34342D2A,-106,,1
2024-08-12 19:37:41,3,1E554B55,-106,,1
2024-08-12 19:37:41,5,1E554B55,-107,,1
2024-08-12 19:37:41,2,1E554B55,-109,,1
2024-08-12 19:37:41,1,1E554B55,-106,,1
2024-08-12 19:37:41,1,55613461,-104,,0
2024-08-12 19:37:41,5,55613461,-107,,0
2024-08-12 19:37:41,1,52786607,-107,,0
2024-08-12 19:37:42,4,334C4B61,-105,,0
2024-08-12 19:37:42,4,4B4C192D,-100,,1
2024-08-12 19:37:42,3,4B4C192D,-106,,1
2024-08-12 19:37:42,1,4B4C192D,-102,,1
2024-08-12 19:37:42,5,4B4C192D,-99,,1
2024-08-12 19:37:42,2,4B4C192D,-108,,1
2024-08-12 19:37:42,5,55661E61,-109,,1
2024-08-12 19:37:42,4,55661E61,-107,,1
2024-08-12 19:37:42,1,55661E61,-106,,1
2024-08-12 19:37:42,1,61000000,-102,,0
2024-08-12 19:37:42,5,61000000,-100,,0
2024-08-12 19:37:42,4,61000000,-101,,0
2024-08-12 19:37:42,2,61000080,-108,,0
2024-08-12 19:37:42,3,1E2A2A4C,-103,,1
2024-08-12 19:37:42,2,1E2A2A4C,-108,,1
2024-08-12 19:37:42,1,1E2A2A4C,-104,,1
2024-08-12 19:37:42,4,1E2A2A4C,-99,,1
2024-08-12 19:37:42,5,1E2A2A4C,-97,,1
2024-08-12 19:37:42,5,1934072D,-107,,1
2024-08-12 19:37:42,1,3361072D,-105,,1
2024-08-12 19:37:43,3,071E6661,-102,,0
2024-08-12 19:37:43,4,071E6661,-98,,0
2024-08-12 19:37:43,2,071E6661,-103,,0
2024-08-12 19:37:43,1,071E6661,-104,,0
2024-08-12 19:37:43,5,071E6661,-97,,0
2024-08-12 19:37:43,5,341E0778,-111,,0
