UsbPort,BluRadioId,RadioId,Time,TagRSSI,TagId,Sync,Product,Revision,NodeId,Payload
,,1,2025-05-27 18:25:39,-84,77AAF9E2,56308,,,69DAEA31,
,,4,2025-05-27 18:25:31,-74,13323C65,62098,,,9CC5DC79,
,,4,2025-05-27 18:25:33,-77,D7510A57,7248,,,9CC5DC79,
,,1,2025-05-27 18:25:40,-73,367E0F4A,12801,,,9CC5DC79,
,,4,2025-05-27 18:25:40,-80,13323C65,1279,,,9CC5DC79,
,,4,2025-05-27 18:25:43,-72,367E0F4A,27751,,,9CC5DC79,
,,1,2025-05-27 18:25:43,-72,367E0F4A,27751,,,9CC5DC79,
,,1,2025-05-27 18:25:44,-74,13323C65,21550,,,9CC5DC79,
,,4,2025-05-27 18:25:45,-80,13323C65,12215,,,9CC5DC79,
,,4,2025-05-27 18:25:47,-82,81D187E3,62660,,,9CC5DC79,
,,1,2025-05-27 18:25:49,-79,13323C65,1617,,,9CC5DC79,
,,4,2025-05-27 18:25:49,-79,13323C65,1617,,,9CC5DC79,
,,1,2025-05-27 18:25:50,-75,A648A0E7,41097,,,9CC5DC79,
,,1,2025-05-27 18:25:52,-83,B78FE24A,33975,,,9CC5DC79,
,,4,2025-05-27 18:25:52,-83,B78FE24A,33975,,,9CC5DC79,
,,4,2025-05-27 18:25:52,-81,0000006E,29763,,,9CC5DC79,
,,4,2025-05-27 18:25:53,-79,59FE8D30,47776,,,9CC5DC79,
,,1,2025-05-27 18:25:53,-79,59FE8D30,47776,,,9CC5DC79,
,,5,2025-05-27 18:25:53,-79,59FE8D30,47776,,,9CC5DC79,
,,1,2025-05-27 18:25:37,-81,E197FE3E,59963,,,67F39C03,
,,1,2025-05-27 18:25:40,-76,59FE8D30,25761,,,7D769A01,
,,1,2025-05-27 18:25:38,-70,367E0F4A,50265,,,D46BA6A2,
,,1,2025-05-27 18:25:42,-76,E2A807D7,9295,,,7D769A01,
,,4,2025-05-27 18:25:40,-79,E197FE3E,19066,,,D46BA6A2,
,,1,2025-05-27 18:25:43,-67,D7510A57,39652,,,7D769A01,
,,1,2025-05-27 18:25:44,-79,81D187E3,8986,,,7D769A01,
,,4,2025-05-27 18:25:40,-71,13323C65,1279,,,D46BA6A2,
,,1,2025-05-27 18:25:40,-74,77AAF9E2,56308,,,D46BA6A2,
,,1,2025-05-27 18:25:46,-65,367E0F4A,63619,,,7D769A01,
,,4,2025-05-27 18:25:42,-82,A648A0E7,9723,,,D46BA6A2,
,,1,2025-05-27 18:25:48,-72,D7510A57,49591,,,7D769A01,
,,5,2025-05-27 18:25:41,-74,B3DA9765,16792,,,AA4358FB,
,,5,2025-05-27 18:25:41,-76,A648A0E7,25905,,,AA4358FB,
,,1,2025-05-27 18:25:49,-82,E197FE3E,34372,,,7D769A01,
,,5,2025-05-27 18:25:42,-68,367E0F4A,58630,,,AA4358FB,
,,5,2025-05-27 18:25:42,-76,E85FB74C,50264,,,AA4358FB,
,,1,2025-05-27 18:25:45,-73,77AAF9E2,34867,,,D46BA6A2,
,,4,2025-05-27 18:25:45,-73,77AAF9E2,34867,,,D46BA6A2,
,,1,2025-05-27 18:25:50,-72,D7510A57,36282,,,7D769A01,
,,4,2025-05-27 18:25:43,-84,B78FE24A,40296,,,AA4358FB,
,,5,2025-05-27 18:25:43,-84,B78FE24A,40296,,,AA4358FB,
,,1,2025-05-27 18:25:51,-76,59FE8D30,36776,,,7D769A01,
,,1,2025-05-27 18:25:48,-81,07F9389E,43588,,,D46BA6A2,
,,4,2025-05-27 18:25:50,-71,D7510A57,36282,,,D46BA6A2,
,,1,2025-05-27 18:25:34,-75,59FE8D30,26475,,,B995250B,
,,4,2025-05-27 18:25:53,-73,59FE8D30,47776,,,D46BA6A2,
,,5,2025-05-27 18:25:46,-68,367E0F4A,38407,,,AA4358FB,
,,1,2025-05-27 18:25:46,-78,59FE8D30,35202,,,AA4358FB,
