Time,RadioId,TagId,TagRSSI,NodeId,Validated
2025-05-27 19:10:00,1,667F7FFF,-84,4D64B5B5,0
2025-05-27 19:10:01,2,071E6661,-52,520A3C5C,0
2025-05-27 19:10:01,4,071E6661,-52,520A3C5C,0
2025-05-27 19:10:01,3,071E6661,-52,520A3C5C,0
2025-05-27 19:10:01,5,071E6661,-52,520A3C5C,0
2025-05-27 19:10:00,5,4C072A78,-96,B995250B,1
2025-05-27 19:10:01,5,5555524B,-102,520A3C5C,0
2025-05-27 19:10:01,4,5261662D,-97,520A3C5C,1
2025-05-27 19:10:01,3,5261662D,-97,520A3C5C,1
2025-05-27 19:10:01,5,5261662D,-97,520A3C5C,1
2025-05-27 19:10:01,2,5261662D,-97,520A3C5C,1
2025-05-27 19:10:01,1,33075555,-89,CB4A1EAE,1
2025-05-27 19:10:00,4,2D66342A,-90,B995250B,0
2025-05-27 19:10:01,1,4B524C1E,-96,4D64B5B5,1
2025-05-27 19:10:00,1,2D2D6634,-86,D46BA6A2,1
2025-05-27 19:10:01,3,66557866,-83,520A3C5C,0
2025-05-27 19:10:01,5,66557866,-83,520A3C5C,0
2025-05-27 19:10:01,2,66557866,-83,520A3C5C,0
2025-05-27 19:10:01,4,66557866,-83,520A3C5C,0
2025-05-27 19:10:01,5,4B660734,-82,520A3C5C,1
2025-05-27 19:10:01,2,4B660734,-82,520A3C5C,1
2025-05-27 19:10:01,4,4B660734,-82,520A3C5C,1
2025-05-27 19:10:01,1,2D2D6634,-90,4D64B5B5,0
2025-05-27 19:10:01,4,2D2D6634,-90,4D64B5B5,0
2025-05-27 19:10:01,3,521E1919,-83,520A3C5C,0
2025-05-27 19:10:01,4,521E1919,-83,520A3C5C,0
2025-05-27 19:10:01,2,521E1919,-83,520A3C5C,0
2025-05-27 19:10:01,5,521E1919,-83,520A3C5C,0
2025-05-27 19:10:01,1,66612D78,-94,4D64B5B5,0
2025-05-27 19:10:01,2,3378614C,-89,520A3C5C,0
2025-05-27 19:10:01,4,3378614C,-89,520A3C5C,0
2025-05-27 19:10:01,5,3378614C,-89,520A3C5C,0
2025-05-27 19:10:01,3,3378614C,-89,520A3C5C,0
2025-05-27 19:10:01,1,5261662D,-99,D46BA6A2,1
2025-05-27 19:10:01,2,61074C34,-97,520A3C5C,1
2025-05-27 19:10:01,2,4C335233,-85,520A3C5C,1
2025-05-27 19:10:01,5,4C335233,-85,520A3C5C,1
2025-05-27 19:10:01,4,4C335233,-85,520A3C5C,1
2025-05-27 19:10:01,3,4C335233,-85,520A3C5C,1
2025-05-27 19:10:01,4,551E4B4C,-88,B995250B,1
2025-05-27 19:10:01,5,551E4B4C,-88,B995250B,1
2025-05-27 19:10:01,1,551E4B4C,-88,B995250B,1
2025-05-27 19:10:01,1,61191E1E,-103,D46BA6A2,0
2025-05-27 19:10:01,2,4C557807,-89,520A3C5C,0
2025-05-27 19:10:01,1,4C665261,-90,B995250B,0
2025-05-27 19:10:01,5,4C665261,-90,B995250B,0
2025-05-27 19:10:01,4,4C665261,-90,B995250B,0
2025-05-27 19:09:59,3,2A332D61,-94,9CC5DC79,1
2025-05-27 19:09:59,5,2A332D61,-94,9CC5DC79,1
2025-05-27 19:09:59,4,2A332D61,-94,9CC5DC79,1
2025-05-27 19:10:01,5,612D191E,-84,520A3C5C,1
2025-05-27 19:10:01,4,612D191E,-84,520A3C5C,1
2025-05-27 19:10:01,3,612D191E,-84,520A3C5C,1
2025-05-27 19:10:01,1,34664C1E,-91,CB4A1EAE,0
2025-05-27 19:10:01,2,614C2D78,-85,520A3C5C,1
2025-05-27 19:10:01,3,614C2D78,-85,520A3C5C,1
2025-05-27 19:10:01,5,614C2D78,-85,520A3C5C,1
2025-05-27 19:10:01,4,614C2D78,-85,520A3C5C,1
2025-05-27 19:10:01,2,34664C1E,-93,520A3C5C,0
2025-05-27 19:10:01,3,34664C1E,-93,520A3C5C,0
2025-05-27 19:10:01,5,34664C1E,-93,520A3C5C,0
2025-05-27 19:10:01,4,34664C1E,-93,520A3C5C,0
2025-05-27 19:10:01,1,4C335233,-93,D46BA6A2,0
2025-05-27 19:10:02,2,07335234,-93,520A3C5C,1
2025-05-27 19:10:02,3,07335234,-93,520A3C5C,1
2025-05-27 19:10:02,4,07335234,-93,520A3C5C,1
2025-05-27 19:10:00,1,78074B52,-92,7D769A01,0
2025-05-27 19:10:01,1,611E334B,-90,4D64B5B5,0
2025-05-27 19:10:02,5,55613461,-82,520A3C5C,0
2025-05-27 19:10:02,4,55613461,-82,520A3C5C,0
2025-05-27 19:10:02,2,55613461,-82,520A3C5C,0
2025-05-27 19:09:59,3,1E07072A,-92,9CC5DC79,1
2025-05-27 19:09:59,5,1E07072A,-92,9CC5DC79,1
2025-05-27 19:09:59,4,1E07072A,-92,9CC5DC79,1
2025-05-27 19:10:02,4,2D072A33,-89,520A3C5C,0
2025-05-27 19:10:01,1,662D6661,-97,D46BA6A2,1
2025-05-27 19:10:02,2,334B524C,-88,520A3C5C,1
2025-05-27 19:10:02,3,334B524C,-88,520A3C5C,1
2025-05-27 19:10:00,5,1E336107,-63,9CC5DC79,0
2025-05-27 19:10:01,3,07335234,-89,D46BA6A2,0
2025-05-27 19:10:01,1,07335234,-89,D46BA6A2,0
2025-05-27 19:10:00,4,52785533,-97,9CC5DC79,1
2025-05-27 19:10:00,1,52785533,-97,9CC5DC79,1
2025-05-27 19:10:00,5,52785533,-97,9CC5DC79,1
2025-05-27 19:10:01,5,614C192D,-68,7D769A01,0
2025-05-27 19:10:00,5,2A66CB61,-104,9CC5DC79,0
2025-05-27 19:10:01,1,2D2D6634,-85,7D769A01,0
2025-05-27 19:10:01,4,2D2D6634,-85,7D769A01,0
2025-05-27 19:10:00,1,4C072A78,-97,9CC5DC79,1
2025-05-27 19:10:02,4,552D0766,-92,520A3C5C,1
2025-05-27 19:10:02,3,1E4B6661,-81,520A3C5C,1
2025-05-27 19:10:02,4,1E4B6661,-81,520A3C5C,1
2025-05-27 19:10:02,2,1E4B6661,-81,520A3C5C,1
2025-05-27 19:10:02,5,1E4B6661,-81,520A3C5C,1
2025-05-27 19:10:01,1,4C617834,-86,7D769A01,1
2025-05-27 19:10:01,5,1955611E,-79,7D769A01,0
2025-05-27 19:10:01,1,1955611E,-79,7D769A01,0
2025-05-27 19:10:01,3,1955611E,-79,7D769A01,0
2025-05-27 19:10:01,4,1955611E,-79,7D769A01,0
2025-05-27 19:10:01,2,1955611E,-79,7D769A01,0
2025-05-27 19:10:00,1,667FFFFF,-96,9CC5DC79,0
2025-05-27 19:10:00,4,667FFFFF,-96,9CC5DC79,0
2025-05-27 19:10:02,1,552D0766,-92,4D64B5B5,1
2025-05-27 19:10:02,3,334B1E66,-105,520A3C5C,0
2025-05-27 19:10:01,4,33194C1E,-97,9CC5DC79,0
2025-05-27 19:10:02,4,66557866,-92,7D769A01,0
2025-05-27 19:10:02,5,66557866,-92,7D769A01,0
2025-05-27 19:10:02,1,66557866,-92,7D769A01,0
2025-05-27 19:10:02,4,78664B2D,-90,AA4358FB,0
2025-05-27 19:10:02,5,78664B2D,-90,AA4358FB,0
2025-05-27 19:10:02,2,78662A61,-90,520A3C5C,1
2025-05-27 19:10:02,5,2A78194B,-86,B995250B,0
2025-05-27 19:10:02,4,2A78194B,-86,B995250B,0
2025-05-27 19:10:02,2,78612A61,-88,520A3C5C,1
2025-05-27 19:10:02,4,78612A61,-88,520A3C5C,1
2025-05-27 19:10:02,5,78612A61,-88,520A3C5C,1
2025-05-27 19:10:02,3,78612A61,-88,520A3C5C,1
2025-05-27 19:10:02,4,4C557807,-88,7D769A01,0
2025-05-27 19:10:02,5,4C557807,-88,7D769A01,0
2025-05-27 19:10:02,1,4C557807,-88,7D769A01,0
2025-05-27 19:10:02,3,55074B4B,-93,520A3C5C,0
2025-05-27 19:10:02,2,55074B4B,-93,520A3C5C,0
2025-05-27 19:10:02,5,55074B4B,-93,520A3C5C,0
2025-05-27 19:10:02,4,55074B4B,-93,520A3C5C,0
2025-05-27 19:10:02,1,4B4C6634,-97,B995250B,0
2025-05-27 19:10:02,4,1E4B662D,-101,AA4358FB,0
2025-05-27 19:10:02,5,1E4B662D,-101,AA4358FB,0
2025-05-27 19:10:02,3,1E4B662D,-101,AA4358FB,0
2025-05-27 19:10:02,1,1E4B662D,-101,AA4358FB,0
2025-05-27 19:10:02,1,614C2A4C,-88,7D769A01,1
2025-05-27 19:10:01,4,61191E1E,-98,9CC5DC79,0
2025-05-27 19:10:02,1,1E52782A,-96,CB4A1EAE,0
2025-05-27 19:10:03,3,2D4B341E,-96,520A3C5C,0
2025-05-27 19:10:03,2,2D4B341E,-96,520A3C5C,0
2025-05-27 19:10:02,3,0755784B,-98,AA4358FB,1
2025-05-27 19:10:02,5,0755784B,-98,AA4358FB,1
2025-05-27 19:10:02,4,0755784B,-98,AA4358FB,1
2025-05-27 19:10:02,1,0755784B,-98,AA4358FB,1
2025-05-27 19:10:03,2,2A4B342D,-97,520A3C5C,1
2025-05-27 19:10:03,5,2A4B342D,-97,520A3C5C,1
2025-05-27 19:10:02,5,2A78194B,-87,AA4358FB,0
2025-05-27 19:10:02,1,1E4B6661,-82,7D769A01,1
2025-05-27 19:10:01,4,4C335233,-91,9CC5DC79,1
2025-05-27 19:10:03,2,071E1978,-98,520A3C5C,0
2025-05-27 19:10:03,3,071E1978,-98,520A3C5C,0
2025-05-27 19:10:02,1,55191E4B,-89,7D769A01,1
2025-05-27 19:10:02,1,1E52782A,-97,AA4358FB,0
2025-05-27 19:10:02,3,1E52782A,-97,AA4358FB,0
2025-05-27 19:10:02,5,1E52782A,-97,AA4358FB,0
2025-05-27 19:10:02,4,1E52782A,-97,AA4358FB,0
2025-05-27 19:10:03,4,55612A07,-103,520A3C5C,1
2025-05-27 19:10:03,5,55612A07,-103,520A3C5C,1
2025-05-27 19:10:03,2,4C2A3355,-91,520A3C5C,0
2025-05-27 19:10:03,1,4C2A3355,-91,520A3C5C,0
2025-05-27 19:10:03,3,4C2A3355,-91,520A3C5C,0
2025-05-27 19:10:03,5,4C2A3355,-91,520A3C5C,0
2025-05-27 19:10:03,4,4C2A3355,-91,520A3C5C,0
2025-05-27 19:10:02,4,78664B2D,-88,9CC5DC79,0
2025-05-27 19:10:03,5,78662A61,-90,AA4358FB,1
2025-05-27 19:10:03,3,332A1E07,-87,520A3C5C,0
2025-05-27 19:10:03,5,332A1E07,-87,520A3C5C,0
2025-05-27 19:10:03,2,332A1E07,-87,520A3C5C,0
2025-05-27 19:10:03,1,4C2A3355,-97,7378B941,0
2025-05-27 19:10:02,5,55613461,-77,9CC5DC79,0
2025-05-27 19:10:02,4,55613461,-77,9CC5DC79,0
2025-05-27 19:10:03,4,334C784B,-85,520A3C5C,1
2025-05-27 19:10:02,5,194C1E07,-96,9CC5DC79,1
2025-05-27 19:10:02,4,194C1E07,-96,9CC5DC79,1
