"","Time","RadioId","TagId","TagRSSI","NodeId","Validated"
"1150",2025-02-26 19:38:57,2,"1E66192A",-102,"3b4c0b",1
"1151",2025-02-26 19:38:59,2,"1E78191E",-107,"3b4c0b",1
"1152",2025-02-26 19:39:02,2,"1E66192A",-108,"3b4c0b",1
"1153",2025-02-26 19:39:02,2,"2D4B5519",-109,"3b4c0b",1
"1154",2025-02-26 19:39:08,2,"2D4B5519",-104,"3b4c0b",1
"1155",2025-02-26 19:39:09,2,"1E78191E",-108,"3b4c0b",1
"1156",2025-02-26 19:39:12,2,"1E66192A",-106,"3b4c0b",1
"1157",2025-02-26 19:39:13,2,"2D4B5519",-108,"3b4c0b",1
"1158",2025-02-26 19:39:18,2,"2D4B5519",-104,"3b4c0b",1
"1159",2025-02-26 19:39:29,2,"2D4B5519",-109,"3b4c0b",1
"1160",2025-02-26 19:39:33,2,"1E66192A",-108,"3b4c0b",1
"1161",2025-02-26 19:39:34,2,"2D4B5519",-107,"3b4c0b",1
"1162",2025-02-26 19:39:55,2,"2D4B5519",-108,"3b4c0b",1
"1163",2025-02-26 19:39:59,2,"1E66192A",-108,"3b4c0b",1
"1164",2025-02-26 19:40:00,2,"2D4B5519",-107,"3b4c0b",1
"1165",2025-02-26 19:40:18,2,"1E78191E",-109,"3b4c0b",1
"1166",2025-02-26 19:53:52,2,"1E66192A",-103,"32610a",1
"1167",2025-02-26 19:53:56,2,"2D4B5519",-106,"32610a",1
"1168",2025-02-26 19:53:56,2,"1E78191E",-105,"32610a",1
"1169",2025-02-26 19:53:57,2,"1E66192A",-102,"32610a",1
"1170",2025-02-26 19:54:01,2,"2D4B5519",-110,"32610a",1
"1171",2025-02-26 19:54:02,2,"1E66192A",-103,"32610a",1
"1172",2025-02-26 19:52:37,2,"1E78191E",-83,"3b5aae",1
"1173",2025-02-26 19:52:38,2,"2D4B5519",-74,"3b5aae",1
"1174",2025-02-26 19:52:40,2,"1E66192A",-79,"3b5aae",1
"1175",2025-02-26 19:52:42,2,"1E78191E",-81,"3b5aae",1
"1176",2025-02-26 19:52:43,2,"2D4B5519",-75,"3b5aae",1
"1177",2025-02-26 19:52:45,2,"1E66192A",-79,"3b5aae",1
"1178",2025-02-26 19:52:47,2,"1E78191E",-80,"3b5aae",1
"1179",2025-02-26 19:52:48,2,"2D4B5519",-74,"3b5aae",1
"1180",2025-02-26 19:52:50,2,"1E66192A",-92,"3b5aae",1
"1181",2025-02-26 19:52:52,2,"1E78191E",-81,"3b5aae",1
"1182",2025-02-26 19:52:53,2,"2D4B5519",-85,"3b5aae",1
"1183",2025-02-26 19:52:55,2,"1E66192A",-83,"3b5aae",1
"1184",2025-02-26 19:52:58,2,"1E78191E",-94,"3b5aae",1
"1185",2025-02-26 19:52:58,2,"2D4B5519",-91,"3b5aae",1
"1186",2025-02-26 19:53:00,2,"1E66192A",-96,"3b5aae",1
"1187",2025-02-26 19:53:03,2,"1E78191E",-93,"3b5aae",1
"1188",2025-02-26 19:53:04,2,"2D4B5519",-93,"3b5aae",1
"1189",2025-02-26 19:53:05,2,"1E66192A",-95,"3b5aae",1
"1190",2025-02-26 19:53:08,2,"1E78191E",-90,"3b5aae",1
