time,tag_id,rssi
2025-05-27T17:47:31Z,4B5561787A,-88
2025-05-27T17:47:31Z,1966614B6F,-92
2025-05-27T17:47:31Z,52552D781C,-91
2025-05-27T17:47:31Z,4C525561,-83
2025-05-27T17:47:31Z,334B61070C,-89
2025-05-27T17:47:31Z,4C1E342A,-94
2025-05-27T17:47:31Z,1E55614C44,-88
2025-05-27T17:47:31Z,5555524B,-91
2025-05-27T17:47:31Z,5266334C4D,-85
2025-05-27T17:47:31Z,66612D78,-97
2025-05-27T17:47:31Z,662A2D61,-101
2025-05-27T17:47:31Z,4C33523390,-94
2025-05-27T17:47:31Z,2D194C4B,-86
2025-05-27T17:47:31Z,34071952,-89
2025-05-27T17:47:31Z,192A4B2D0A,-89
2025-05-27T17:47:31Z,192A33335A,-89
2025-05-27T17:47:31Z,667F7FFF,-90
2025-05-27T17:47:31Z,2D2D6634,-96
2025-05-27T17:47:31Z,33194C1E,-85
2025-05-27T17:47:32Z,0752664C,-84
2025-05-27T17:47:32Z,334C4B61,-72
2025-05-27T17:47:32Z,6655664C,-101
2025-05-27T17:47:32Z,551E4C19D4,-83
2025-05-27T17:47:32Z,3333332A,-97
2025-05-27T17:47:32Z,4B6607344E,-90
2025-05-27T17:47:32Z,52786607,-87
2025-05-27T17:47:32Z,2A55344C,-92
2025-05-27T17:47:32Z,2A332D6169,-84
2025-05-27T17:47:32Z,4B4C2D2A,-89
2025-05-27T17:47:32Z,332A1E07,-79
2025-05-27T17:47:32Z,78071E195A,-84
2025-05-27T17:47:32Z,52190734,-87
2025-05-27T17:47:32Z,3334332A,-100
2025-05-27T17:47:32Z,662D666158,-87
2025-05-27T17:47:32Z,61616161,-98
2025-05-27T17:47:32Z,2A4C34552F,-91
2025-05-27T17:47:32Z,614C2A4CF0,-82
2025-05-27T17:47:32Z,55612A0725,-96
2025-05-27T17:47:32Z,334C782A,-100
2025-05-27T17:47:32Z,5261662D36,-97
2025-05-27T17:47:32Z,3378614C,-88
2025-05-27T17:47:32Z,1E4B6155,-84
2025-05-27T17:47:33Z,1934525214,-94
2025-05-27T17:47:33Z,4B525261E5,-95
2025-05-27T17:47:33Z,4B344C4C1F,-90
2025-05-27T17:47:33Z,4C2A5219,-96
2025-05-27T17:47:33Z,332D5534,-87
2025-05-27T17:47:33Z,4B2A522A25,-85
2025-05-27T17:47:33Z,4C557807,-88
2025-05-27T17:47:33Z,34333455,-96
2025-05-27T17:47:33Z,19612D2AFE,-88
2025-05-27T17:47:33Z,2D66342A,-91
2025-05-27T17:47:33Z,1E191E3323,-91
2025-05-27T17:47:33Z,78664B2D,-94
2025-05-27T17:47:33Z,07335234,-93
2025-05-27T17:47:33Z,1966191E,-91
2025-05-27T17:47:33Z,2A664B6106,-101
2025-05-27T17:47:33Z,1E33072D57,-86
2025-05-27T17:47:33Z,07332A33,-92
2025-05-27T17:47:33Z,7855612A50,-104
2025-05-27T17:47:33Z,194C1E611C,-100
2025-05-27T17:47:33Z,4C2A3355,-91
2025-05-27T17:47:33Z,4B194C4C,-87
2025-05-27T17:47:33Z,2A071919,-88
2025-05-27T17:47:33Z,61191E1E,-85
2025-05-27T17:47:33Z,55554C1E,-101
2025-05-27T17:47:34Z,334B1E664D,-84
2025-05-27T17:47:34Z,1961074C,-90
2025-05-27T17:47:34Z,5278553332,-85
2025-05-27T17:47:34Z,0707664B09,-85
2025-05-27T17:47:34Z,4B524C1E1E,-94
2025-05-27T17:47:34Z,554B33613E,-93
2025-05-27T17:47:34Z,614C2D7817,-84
2025-05-27T17:47:34Z,2A1E4B07,-75
2025-05-27T17:47:34Z,1E192D33,-93
2025-05-27T17:47:34Z,782A5533,-103
2025-05-27T17:47:34Z,2A19781E,-87
2025-05-27T17:47:34Z,3307555564,-92
2025-05-27T17:47:34Z,2D071E550B,-86
2025-05-27T17:47:34Z,1E340719,-88
