time,tag_id,sync,family,payload_version,payload,rssi
2025-05-27T17:36:30Z,A648A0E7,37611,1,0,A60B1709,-75
2025-05-27T17:36:30Z,81D187E3,24293,1,0,920BBE09,-81
2025-05-27T17:36:30Z,B78FE24A,23984,1,0,F707C20A,-79
2025-05-27T17:36:31Z,D7510A57,60669,1,0,D407CB09,-70
2025-05-27T17:36:31Z,B3DA9765,10579,1,0,1F07620A,-79
2025-05-27T17:36:31Z,59FE8D30,24841,1,0,C2072909,-78
2025-05-27T17:36:32Z,D7510A57,64045,1,0,D207E109,-70
2025-05-27T17:36:32Z,367E0F4A,14936,1,0,8B0B8909,-71
2025-05-27T17:36:32Z,81D187E3,21577,1,0,920BA709,-72
2025-05-27T17:36:33Z,13323C65,50794,1,0,A70BE008,-78
2025-05-27T17:36:33Z,77AAF9E2,65352,1,0,4B070C0B,-81
2025-05-27T17:36:34Z,367E0F4A,58733,1,0,8C0B8B09,-73
2025-05-27T17:36:35Z,367E0F4A,55612,1,0,8B0B8B09,-72
2025-05-27T17:36:36Z,13323C65,61531,1,0,A70BD508,-74
2025-05-27T17:36:36Z,77AAF9E2,21231,1,0,4307FC0A,-75
2025-05-27T17:36:36Z,2172633A,16279,2,0,1D06AE0D,-80
2025-05-27T17:36:36Z,367E0F4A,51019,1,0,8C0B8B09,-72
2025-05-27T17:36:36Z,23D9727E,50129,2,0,1006AF10,-64
2025-05-27T17:36:36Z,81D187E3,48626,1,0,910BAC09,-82
2025-05-27T17:36:37Z,D7510A57,50903,1,0,CF07DA09,-75
2025-05-27T17:36:37Z,77AAF9E2,18875,1,0,45070C0B,-78
2025-05-27T17:36:38Z,D7510A57,36723,1,0,D007D509,-69
2025-05-27T17:36:38Z,367E0F4A,14917,1,0,8C0B9009,-75
2025-05-27T17:36:38Z,07F9389E,16628,2,0,0706110A,-81
2025-05-27T17:36:38Z,A648A0E7,6463,1,0,A60B2409,-77
2025-05-27T17:36:39Z,D7510A57,41041,1,0,CF07D009,-73
2025-05-27T17:36:39Z,367E0F4A,27970,1,0,8C0B8609,-75
2025-05-27T17:36:39Z,23D9727E,55586,2,0,0F06C010,-70
2025-05-27T17:36:39Z,A648A0E7,54833,1,0,A70BFE08,-74
2025-05-27T17:36:40Z,81D187E3,12010,1,0,910BA009,-82
2025-05-27T17:36:41Z,D7510A57,31547,1,0,D007CB09,-71
2025-05-27T17:36:41Z,B3DA9765,54499,1,0,1C07560A,-81
2025-05-27T17:36:42Z,A648A0E7,53550,1,0,A60B3009,-77
2025-05-27T17:36:42Z,D7510A57,134,1,0,D007D709,-74
2025-05-27T17:36:42Z,77AAF9E2,677,1,0,4B07070B,-77
2025-05-27T17:36:42Z,23D9727E,60521,2,0,0D06B910,-64
2025-05-27T17:36:42Z,59FE8D30,39850,1,0,C0073D09,-77
2025-05-27T17:36:43Z,D7510A57,31585,1,0,D107D709,-69
2025-05-27T17:36:43Z,E2A807D7,41476,1,0,D307790A,-85
2025-05-27T17:36:43Z,367E0F4A,34562,1,0,8C0B8109,-72
2025-05-27T17:36:43Z,07F9389E,55612,2,0,0606230A,-76
2025-05-27T17:36:44Z,13323C65,31704,1,0,A80BEF08,-77
2025-05-27T17:36:44Z,81D187E3,26348,1,0,920BAA09,-72
2025-05-27T17:36:45Z,0000006E,17401,1,0,A807A009,-77
2025-05-27T17:36:45Z,13323C65,44590,1,0,A70BF108,-78
2025-05-27T17:36:45Z,367E0F4A,27993,1,0,8B0B8109,-72
2025-05-27T17:36:45Z,23D9727E,60173,2,0,1006D010,-64
2025-05-27T17:36:46Z,D7510A57,11447,1,0,D307D209,-71
2025-05-27T17:36:46Z,81D187E3,36828,1,0,910BAA09,-72
2025-05-27T17:36:47Z,A648A0E7,37585,1,0,A60B3009,-75
2025-05-27T17:36:47Z,77AAF9E2,12722,1,0,4E07070B,-80
2025-05-27T17:36:47Z,367E0F4A,6835,1,0,8C0B8609,-72
2025-05-27T17:36:47Z,59FE8D30,35123,1,0,C1074009,-78
2025-05-27T17:36:47Z,81D187E3,57139,1,0,920BB109,-72
2025-05-27T17:36:48Z,367E0F4A,23047,1,0,8C0B9009,-72
2025-05-27T17:36:48Z,07F9389E,6488,2,0,0606140A,-74
2025-05-27T17:36:48Z,59FE8D30,60110,1,0,C1073009,-77
2025-05-27T17:36:49Z,23D9727E,65172,2,0,0E06E410,-62
2025-05-27T17:36:49Z,A648A0E7,38333,1,0,A60B1009,-75
2025-05-27T17:36:49Z,367E0F4A,7328,1,0,8B0B9809,-72
2025-05-27T17:36:49Z,D7510A57,17387,1,0,D407DF09,-72
2025-05-27T17:36:50Z,A648A0E7,35837,1,0,A60B2E09,-77
2025-05-27T17:36:50Z,77AAF9E2,5003,1,0,4E070E0B,-81
2025-05-27T17:36:51Z,A648A0E7,20429,1,0,A60B2109,-76
2025-05-27T17:36:51Z,19836CFF,22302,1,0,C907EE09,-83
2025-05-27T17:36:51Z,367E0F4A,7648,1,0,8B0B9B09,-73
2025-05-27T17:36:51Z,81D187E3,23001,1,0,910BBE09,-82
2025-05-27T17:36:52Z,23D9727E,65504,2,0,0F06E610,-63
2025-05-27T17:36:52Z,367E0F4A,49410,1,0,8C0B9B09,-71
2025-05-27T17:36:53Z,A648A0E7,8389,1,0,A70B1F09,-77
2025-05-27T17:36:54Z,A648A0E7,10357,1,0,A60B1F09,-76
2025-05-27T17:36:54Z,77AAF9E2,39121,1,0,4C07FC0A,-80
2025-05-27T17:36:54Z,367E0F4A,3076,1,0,8B0B9309,-72
2025-05-27T17:36:54Z,59FE8D30,47945,1,0,C1072909,-79
2025-05-27T17:36:55Z,D7510A57,8538,1,0,D207CD09,-70
2025-05-27T17:36:55Z,367E0F4A,14759,1,0,8B0B8109,-73
2025-05-27T17:36:56Z,D7510A57,36639,1,0,D307B909,-74
2025-05-27T17:36:56Z,367E0F4A,34822,1,0,8B0B9809,-73
2025-05-27T17:36:57Z,77AAF9E2,2636,1,0,49072A0B,-82
2025-05-27T17:36:57Z,367E0F4A,41136,1,0,8B0B9009,-72
2025-05-27T17:36:58Z,B78FE24A,60410,1,0,EF07CA0A,-79
2025-05-27T17:36:58Z,D7510A57,63177,1,0,D307D709,-70
2025-05-27T17:36:58Z,A648A0E7,40276,1,0,A60B2109,-79
2025-05-27T17:36:58Z,77AAF9E2,16731,1,0,4A070C0B,-78
2025-05-27T17:36:58Z,23D9727E,35396,2,0,10060711,-64
2025-05-27T17:36:58Z,13323C65,35936,1,0,A70BF608,-74
2025-05-27T17:36:58Z,59FE8D30,7324,1,0,BF073B09,-78
2025-05-27T17:36:58Z,81D187E3,50613,1,0,920BAC09,-74
2025-05-27T17:36:58Z,367E0F4A,24367,1,0,8C0B9009,-72
2025-05-27T17:36:59Z,B78FE24A,27132,1,0,F107C50A,-78
2025-05-27T17:36:59Z,D7510A57,62301,1,0,D207D209,-73
2025-05-27T17:36:59Z,59FE8D30,794,1,0,C0073609,-81
2025-05-27T17:37:00Z,367E0F4A,45212,1,0,8C0B8E09,-72
2025-05-27T17:37:00Z,77AAF9E2,44223,1,0,49070E0B,-81
2025-05-27T17:37:01Z,59FE8D30,44311,1,0,C0072B09,-77
2025-05-27T17:37:02Z,D7510A57,37794,1,0,D107DC09,-70
2025-05-27T17:37:02Z,77AAF9E2,33647,1,0,4707090B,-81
2025-05-27T17:37:02Z,B3DA9765,23014,1,0,1807620A,-80
2025-05-27T17:37:02Z,13323C65,5798,1,0,A90BC908,-77
2025-05-27T17:37:03Z,D7510A57,11250,1,0,D007E409,-73
2025-05-27T17:37:03Z,367E0F4A,33712,1,0,8D0B8109,-75
2025-05-27T17:37:03Z,0000006E,13159,1,0,A807AF09,-81
2025-05-27T17:37:04Z,D7510A57,20061,1,0,D007E909,-74
2025-05-27T17:37:04Z,367E0F4A,64684,1,0,8B0B7F09,-75
2025-05-27T17:37:05Z,367E0F4A,18397,1,0,8C0B9609,-72
2025-05-27T17:37:05Z,A648A0E7,52519,1,0,A70B3B09,-76
2025-05-27T17:37:05Z,77AAF9E2,37501,1,0,46070C0B,-80
2025-05-27T17:37:06Z,367E0F4A,10144,1,0,8B0B8909,-74
2025-05-27T17:37:06Z,A648A0E7,6904,1,0,A60B2E09,-75
2025-05-27T17:37:06Z,59FE8D30,54164,1,0,BF073D09,-77
2025-05-27T17:37:07Z,23D9727E,41477,2,0,0E060511,-65
2025-05-27T17:37:08Z,13323C65,15041,1,0,A70BDB08,-77
2025-05-27T17:37:09Z,D7510A57,11893,1,0,D007DA09,-73
2025-05-27T17:37:09Z,77AAF9E2,49094,1,0,4607F50A,-80
2025-05-27T17:37:10Z,D7510A57,9972,1,0,CF07C809,-73
2025-05-27T17:37:10Z,A648A0E7,63463,1,0,A70B1509,-75
2025-05-27T17:37:10Z,23D9727E,44626,2,0,0F061B11,-68
2025-05-27T17:37:10Z,81D187E3,44337,1,0,920BAA09,-73
2025-05-27T17:37:11Z,B78FE24A,48659,1,0,E707B80A,-79
