time,tag_id,sync,family,payload_version,payload,rssi
2025-05-27T17:42:16Z,2172633A,31586,2,0,1D06530D,-71
2025-05-27T17:42:17Z,0000006E,53327,1,0,99077709,-74
2025-05-27T17:42:17Z,A648A0E7,15348,1,0,A70B1A09,-77
2025-05-27T17:42:18Z,13323C65,22160,1,0,A70BEA08,-71
2025-05-27T17:42:18Z,23D9727E,59501,2,0,11060E0F,-55
2025-05-27T17:42:19Z,A648A0E7,28523,1,0,A60B2909,-71
2025-05-27T17:42:19Z,D7510A57,29508,1,0,BB07CD09,-69
2025-05-27T17:42:20Z,367E0F4A,57094,1,0,8C0B9609,-76
2025-05-27T17:42:21Z,E2A807D7,5943,1,0,B0073C0A,-79
2025-05-27T17:42:21Z,23D9727E,36061,2,0,1006100F,-52
2025-05-27T17:42:21Z,367E0F4A,35583,1,0,8C0B9B09,-74
2025-05-27T17:42:21Z,81D187E3,3107,1,0,920BB109,-76
2025-05-27T17:42:21Z,D7510A57,23894,1,0,BD07C309,-69
2025-05-27T17:42:22Z,2172633A,25767,2,0,1E06420D,-75
2025-05-27T17:42:23Z,13323C65,477,1,0,A80BE208,-76
2025-05-27T17:42:23Z,367E0F4A,20230,1,0,8C0BA209,-78
2025-05-27T17:42:24Z,81D187E3,56093,1,0,920BAF09,-77
2025-05-27T17:42:24Z,367E0F4A,19568,1,0,8C0B9809,-79
2025-05-27T17:42:24Z,23D9727E,36013,2,0,10060E0F,-52
2025-05-27T17:42:24Z,A648A0E7,19397,1,0,A70B0D09,-71
2025-05-27T17:42:24Z,D7510A57,4859,1,0,BD07CD09,-73
2025-05-27T17:42:25Z,59FE8D30,10025,1,0,AA071709,-71
2025-05-27T17:42:25Z,2172633A,23120,2,0,1D06510D,-70
2025-05-27T17:42:25Z,E85FB74C,37296,2,0,F7055D0A,-78
2025-05-27T17:42:25Z,D7510A57,8874,1,0,BD07BB09,-69
2025-05-27T17:42:25Z,19836CFF,60872,1,0,A307C109,-80
2025-05-27T17:42:25Z,77AAF9E2,17421,1,0,2007ED0A,-79
2025-05-27T17:42:26Z,870614B1,47968,2,0,1A065807,-82
2025-05-27T17:42:26Z,13323C65,61892,1,0,A80BE508,-76
2025-05-27T17:42:26Z,E197FE3E,29890,1,0,5407870B,-80
2025-05-27T17:42:27Z,13323C65,37156,1,0,A70BE508,-76
2025-05-27T17:42:27Z,23D9727E,40420,2,0,1106E50E,-59
2025-05-27T17:42:27Z,D7510A57,11319,1,0,BE07BB09,-74
2025-05-27T17:42:28Z,59FE8D30,20541,1,0,AA071F09,-73
2025-05-27T17:42:28Z,07F9389E,40413,2,0,06060C0A,-75
2025-05-27T17:42:28Z,13323C65,33528,1,0,A80BEF08,-70
2025-05-27T17:42:28Z,367E0F4A,33079,1,0,8C0B9609,-78
2025-05-27T17:42:28Z,A648A0E7,12640,1,0,A60B1709,-69
2025-05-27T17:42:28Z,2172633A,24131,2,0,1E064E0D,-72
2025-05-27T17:42:28Z,D7510A57,29096,1,0,BD07B409,-73
2025-05-27T17:42:29Z,870614B1,48849,2,0,1A065A07,-76
2025-05-27T17:42:29Z,59FE8D30,46108,1,0,AA073009,-72
2025-05-27T17:42:29Z,81D187E3,52975,1,0,910BAC09,-77
2025-05-27T17:42:30Z,13323C65,20660,1,0,A70BDD08,-70
2025-05-27T17:42:30Z,A648A0E7,50643,1,0,A60B1C09,-72
2025-05-27T17:42:31Z,77AAF9E2,10347,1,0,2007E30A,-83
2025-05-27T17:42:31Z,B3DA9765,61341,1,0,F306440A,-83
2025-05-27T17:42:31Z,2172633A,16534,2,0,1D06470D,-70
2025-05-27T17:42:32Z,870614B1,13369,2,0,1B066A07,-75
2025-05-27T17:42:32Z,0000006E,51475,1,0,99079B09,-74
2025-05-27T17:42:32Z,B3DA9765,36090,1,0,F306490A,-82
2025-05-27T17:42:33Z,E2A807D7,32123,1,0,B007510A,-79
2025-05-27T17:42:33Z,07F9389E,18379,2,0,0606190A,-75
2025-05-27T17:42:33Z,367E0F4A,39727,1,0,8C0B9009,-79
2025-05-27T17:42:33Z,A648A0E7,20217,1,0,A60B3809,-71
2025-05-27T17:42:34Z,59FE8D30,57450,1,0,AB071C09,-74
2025-05-27T17:42:34Z,13323C65,5829,1,0,A80BF108,-77
2025-05-27T17:42:34Z,367E0F4A,58590,1,0,8C0B8609,-78
2025-05-27T17:42:34Z,2172633A,17222,2,0,1D063A0D,-70
2025-05-27T17:42:35Z,13323C65,1440,1,0,A80BD808,-70
2025-05-27T17:42:35Z,A648A0E7,10679,1,0,A70B3009,-71
2025-05-27T17:42:36Z,59FE8D30,7308,1,0,AB070D09,-73
2025-05-27T17:42:36Z,23D9727E,47952,2,0,1106C40E,-52
2025-05-27T17:42:37Z,59FE8D30,5556,1,0,AB071A09,-75
2025-05-27T17:42:37Z,D7510A57,7436,1,0,BD07B609,-75
2025-05-27T17:42:37Z,2172633A,18731,2,0,1C062B0D,-75
2025-05-27T17:42:38Z,D7510A57,60664,1,0,BD07C609,-75
2025-05-27T17:42:39Z,23D9727E,48678,2,0,1106D90E,-59
2025-05-27T17:42:40Z,A648A0E7,37246,1,0,A60B3309,-71
2025-05-27T17:42:40Z,77AAF9E2,10137,1,0,2107FC0A,-80
2025-05-27T17:42:41Z,B3DA9765,55842,1,0,F3065B0A,-78
2025-05-27T17:42:43Z,13323C65,6687,1,0,A80BEA08,-76
2025-05-27T17:42:44Z,59FE8D30,26297,1,0,AB072E09,-75
2025-05-27T17:42:44Z,D7510A57,29070,1,0,BD07B109,-69
2025-05-27T17:42:45Z,23D9727E,10574,2,0,1006C70E,-59
2025-05-27T17:42:45Z,A648A0E7,43218,1,0,A70B1C09,-71
2025-05-27T17:42:47Z,0000006E,24759,1,0,9A076309,-75
2025-05-27T17:42:47Z,2172633A,27347,2,0,1E06210D,-73
2025-05-27T17:42:47Z,13323C65,1397,1,0,A80BEC08,-70
2025-05-27T17:42:48Z,59FE8D30,27872,1,0,AB071A09,-75
2025-05-27T17:42:48Z,13323C65,46479,1,0,A70BEA08,-75
2025-05-27T17:42:48Z,D7510A57,50796,1,0,BD07CB09,-73
2025-05-27T17:42:49Z,3F9E3319,20712,1,0,6507640B,-82
2025-05-27T17:42:49Z,A648A0E7,64192,1,0,A70B2609,-71
2025-05-27T17:42:51Z,D7510A57,36137,1,0,BD07B109,-75
2025-05-27T17:42:51Z,367E0F4A,15351,1,0,8B0B8909,-78
2025-05-27T17:42:51Z,A648A0E7,60097,1,0,A70B1009,-76
2025-05-27T17:42:52Z,59FE8D30,20602,1,0,AB072909,-72
2025-05-27T17:42:52Z,B3DA9765,51788,1,0,F306580A,-79
2025-05-27T17:42:52Z,81D187E3,50045,1,0,920BB109,-78
2025-05-27T17:42:53Z,3F9E3319,21291,1,0,6507620B,-82
2025-05-27T17:42:54Z,A648A0E7,32603,1,0,A80B1209,-76
