time,tag_id,rssi
2025-05-27T17:37:18Z,347834614A,-94
2025-05-27T17:37:18Z,782A5533,-103
2025-05-27T17:37:18Z,4B524C1E1E,-93
2025-05-27T17:37:18Z,2A071919,-81
2025-05-27T17:37:18Z,334B61070C,-83
2025-05-27T17:37:18Z,2D66342A,-94
2025-05-27T17:37:18Z,3307555564,-87
2025-05-27T17:37:18Z,662D616626,-103
2025-05-27T17:37:18Z,782A784C,-92
2025-05-27T17:37:18Z,612D784B,-89
2025-05-27T17:37:18Z,1E192D33,-98
2025-05-27T17:37:18Z,19662A0740,-87
2025-05-27T17:37:18Z,1E4C2D3301,-83
2025-05-27T17:37:18Z,664B6666,-85
2025-05-27T17:37:19Z,1933612D,-93
2025-05-27T17:37:19Z,4B194C4C,-82
2025-05-27T17:37:19Z,4B6133664C,-87
2025-05-27T17:37:19Z,614C2D7817,-96
2025-05-27T17:37:19Z,192A4B2D0A,-89
2025-05-27T17:37:19Z,55074B4B,-91
2025-05-27T17:37:19Z,2A664B6106,-92
2025-05-27T17:37:19Z,612D191E21,-91
2025-05-27T17:37:19Z,78612A6120,-97
2025-05-27T17:37:19Z,4C55780788,-92
2025-05-27T17:37:19Z,4C4C2D52,-94
2025-05-27T17:37:19Z,1E191E3323,-93
2025-05-27T17:37:19Z,34664C1E,-91
2025-05-27T17:37:19Z,1934525214,-94
2025-05-27T17:37:19Z,071E78525F,-93
2025-05-27T17:37:19Z,5261662D36,-102
2025-05-27T17:37:19Z,3333332A,-94
2025-05-27T17:37:19Z,55554C1E,-97
2025-05-27T17:37:19Z,66666655,-90
2025-05-27T17:37:19Z,072A66610D,-96
2025-05-27T17:37:19Z,0752664C,-89
2025-05-27T17:37:19Z,1955611E,-81
2025-05-27T17:37:19Z,334B1E664D,-85
2025-05-27T17:37:19Z,2D332D1964,-96
2025-05-27T17:37:19Z,194B2A4B71,-90
2025-05-27T17:37:19Z,334B524C3C,-83
2025-05-27T17:37:19Z,33074C558E,-80
2025-05-27T17:37:19Z,664C1E5570,-86
2025-05-27T17:37:19Z,1E340719,-95
2025-05-27T17:37:19Z,19334B4C,-97
2025-05-27T17:37:19Z,662D666158,-99
2025-05-27T17:37:19Z,614C2A4C,-87
2025-05-27T17:37:19Z,1E4B6155,-84
2025-05-27T17:37:19Z,66523307,-93
2025-05-27T17:37:19Z,52552D781C,-90
2025-05-27T17:37:20Z,52786652,-92
2025-05-27T17:37:20Z,785207070E,-86
2025-05-27T17:37:20Z,4B2A522A25,-100
2025-05-27T17:37:20Z,194C1E0729,-82
2025-05-27T17:37:20Z,4C1E342A,-88
2025-05-27T17:37:20Z,2D4B341E,-90
2025-05-27T17:37:20Z,5266334C4D,-84
2025-05-27T17:37:20Z,34333455,-104
2025-05-27T17:37:20Z,78662A6136,-85
2025-05-27T17:37:20Z,2D071E550B,-92
2025-05-27T17:37:20Z,1966191E,-83
2025-05-27T17:37:20Z,66612D78A7,-105
2025-05-27T17:37:20Z,1E55612A71,-93
2025-05-27T17:37:20Z,7852663477,-85
2025-05-27T17:37:20Z,6178554BCE,-86
2025-05-27T17:37:20Z,614C192D,-79
2025-05-27T17:37:20Z,4B4C66346A,-101
2025-05-27T17:37:20Z,1E4B1E6168,-90
2025-05-27T17:37:21Z,666166194B,-88
2025-05-27T17:37:21Z,7855612A50,-97
2025-05-27T17:37:21Z,55612A0725,-103
2025-05-27T17:37:21Z,2D194C4B,-97
2025-05-27T17:37:21Z,614B342A52,-99
2025-05-27T17:37:21Z,4C525561EC,-87
2025-05-27T17:37:21Z,07335234,-97
2025-05-27T17:37:21Z,2A55344C,-94
2025-05-27T17:37:21Z,4C4B6619DD,-90
2025-05-27T17:37:21Z,4B52614B,-83
2025-05-27T17:37:21Z,2A1E61611C,-86
2025-05-27T17:37:22Z,2A1E611E66,-90
2025-05-27T17:37:22Z,1966614B6F,-95
2025-05-27T17:37:22Z,19332A07,-83
2025-05-27T17:37:22Z,5278612D,-94
2025-05-27T17:37:22Z,1E55614C44,-83
2025-05-27T17:37:22Z,2A19781E,-84
2025-05-27T17:37:22Z,61616161,-89
2025-05-27T17:37:22Z,551E4B4C13,-89
2025-05-27T17:37:22Z,34552D4C,-91
2025-05-27T17:37:22Z,55334C075C,-84
2025-05-27T17:37:22Z,192A33335A,-97
2025-05-27T17:37:22Z,2A4B66551F,-96
2025-05-27T17:37:22Z,1966615535,-94
2025-05-27T17:37:22Z,2D072A33,-95
2025-05-27T17:37:22Z,3333332A,-96
2025-05-27T17:37:22Z,667F7FFF,-89
2025-05-27T17:37:22Z,192D784C,-88
2025-05-27T17:37:22Z,6655664C,-97
2025-05-27T17:37:22Z,78074B52,-100
2025-05-27T17:37:22Z,521E1919,-94
2025-05-27T17:37:22Z,552D07663E,-87
2025-05-27T17:37:23Z,074C5533,-89
2025-05-27T17:37:23Z,4B4C2D2A,-95
2025-05-27T17:37:23Z,78071E195A,-68
2025-05-27T17:37:23Z,551E5552C8,-91
2025-05-27T17:37:23Z,4C6178345B,-84
2025-05-27T17:37:23Z,55191E4B5D,-90
2025-05-27T17:37:23Z,332A1E07,-86
2025-05-27T17:37:23Z,61191E1E,-87
2025-05-27T17:37:23Z,19612D2A,-83
2025-05-27T17:37:23Z,4C665261,-97
2025-05-27T17:37:23Z,52190734,-104
2025-05-27T17:37:23Z,2A612A345C,-91
2025-05-27T17:37:23Z,33194C1E,-83
2025-05-27T17:37:23Z,0755784B7A,-80
2025-05-27T17:37:23Z,07524B2A,-97
2025-05-27T17:37:23Z,782A5533,-106
2025-05-27T17:37:23Z,347834614A,-95
2025-05-27T17:37:23Z,071E6661,-62
2025-05-27T17:37:23Z,4B524C1E1E,-95
2025-05-27T17:37:23Z,334B61070C,-84
2025-05-27T17:37:24Z,2A071919,-82
2025-05-27T17:37:24Z,3307555564,-88
2025-05-27T17:37:24Z,19662A0740,-88
2025-05-27T17:37:24Z,1933612D,-95
2025-05-27T17:37:24Z,4B194C4CCD,-83
2025-05-27T17:37:24Z,2A664B6106,-93
2025-05-27T17:37:24Z,192A4B2D0A,-90
2025-05-27T17:37:24Z,34664C1E,-91
2025-05-27T17:37:24Z,071E78525F,-93
2025-05-27T17:37:24Z,4C557807,-93
2025-05-27T17:37:24Z,1934525214,-93
2025-05-27T17:37:24Z,072A66610D,-97
2025-05-27T17:37:24Z,66666655,-93
2025-05-27T17:37:24Z,5261662D36,-102
2025-05-27T17:37:24Z,1955611E,-81
2025-05-27T17:37:24Z,78664B2D,-88
2025-05-27T17:37:24Z,194B2A4B71,-93
2025-05-27T17:37:24Z,34071952,-98
2025-05-27T17:37:24Z,332D4B2D4E,-96
2025-05-27T17:37:24Z,55554C1E,-98
2025-05-27T17:37:24Z,33074C55,-80
2025-05-27T17:37:24Z,1E340719,-93
2025-05-27T17:37:24Z,334B524C3C,-84
2025-05-27T17:37:24Z,0761524B1C,-101
2025-05-27T17:37:24Z,664C1E5570,-87
2025-05-27T17:37:25Z,1E4B6155,-84
2025-05-27T17:37:25Z,52552D781C,-90
2025-05-27T17:37:25Z,662D666158,-101
2025-05-27T17:37:25Z,19334B4C,-97
2025-05-27T17:37:25Z,52786652,-93
2025-05-27T17:37:25Z,194C1E0729,-85
2025-05-27T17:37:25Z,4B2A522A25,-118
2025-05-27T17:37:25Z,785207070E,-86
2025-05-27T17:37:25Z,2D4B341E,-90
2025-05-27T17:37:25Z,2D196655,-96
2025-05-27T17:37:25Z,1E4B662D,-83
2025-05-27T17:37:25Z,1966191E,-82
