time,tag_id,rssi
2025-05-27T17:42:54Z,552D07663E,-95
2025-05-27T17:42:54Z,1E4B6155,-90
2025-05-27T17:42:54Z,2A1E611E66,-97
2025-05-27T17:42:54Z,1E55612A71,-90
2025-05-27T17:42:54Z,194B2A4B71,-99
2025-05-27T17:42:54Z,334B1E664D,-90
2025-05-27T17:42:54Z,4B554C0747,-95
2025-05-27T17:42:54Z,19662A0740,-89
2025-05-27T17:42:54Z,1E52782A,-91
2025-05-27T17:42:54Z,4B524C1E1E,-95
2025-05-27T17:42:54Z,4B5561787A,-90
2025-05-27T17:42:54Z,552D4B1E,-85
2025-05-27T17:42:54Z,5555524B,-85
2025-05-27T17:42:54Z,1E192D33,-90
2025-05-27T17:42:54Z,4C4B6619,-92
2025-05-27T17:42:54Z,3307555564,-95
2025-05-27T17:42:54Z,785207070E,-90
2025-05-27T17:42:54Z,33074C55,-91
2025-05-27T17:42:54Z,4B6133664C,-95
2025-05-27T17:42:54Z,66666655BE,-91
2025-05-27T17:42:54Z,4B344C4C1F,-92
2025-05-27T17:42:54Z,1E33072D57,-95
2025-05-27T17:42:54Z,33194C1EF6,-95
2025-05-27T17:42:54Z,66557866,-98
2025-05-27T17:42:54Z,78071E195A,-92
2025-05-27T17:42:54Z,4C665261,-88
2025-05-27T17:42:55Z,194C1E611C,-89
2025-05-27T17:42:55Z,19786152,-94
2025-05-27T17:42:55Z,0755784B7A,-89
2025-05-27T17:42:55Z,194C1E0729,-83
2025-05-27T17:42:55Z,55554C1E,-90
2025-05-27T17:42:55Z,55612A0725,-99
2025-05-27T17:42:55Z,2D664C4C,-101
2025-05-27T17:42:55Z,7855612A50,-93
2025-05-27T17:42:55Z,1961074C,-88
2025-05-27T17:42:55Z,33072A61,-93
2025-05-27T17:42:55Z,2D332D1964,-94
2025-05-27T17:42:55Z,2D4B341E,-97
2025-05-27T17:42:55Z,4B52614B,-98
2025-05-27T17:42:55Z,344C33616B,-92
2025-05-27T17:42:55Z,19612D2A,-87
2025-05-27T17:42:55Z,334B524C3C,-92
2025-05-27T17:42:55Z,2A612A345C,-95
2025-05-27T17:42:55Z,2A4B342D56,-99
2025-05-27T17:42:55Z,52190734,-88
2025-05-27T17:42:55Z,4B331E07,-90
2025-05-27T17:42:55Z,52552D781C,-95
2025-05-27T17:42:55Z,2D4C342A37,-86
2025-05-27T17:42:55Z,5278553332,-86
2025-05-27T17:42:55Z,1E4B662D81,-87
2025-05-27T17:42:55Z,78662A6136,-100
2025-05-27T17:42:55Z,0752664C,-83
2025-05-27T17:42:56Z,2D194C4B,-86
2025-05-27T17:42:56Z,4B2D2A19,-98
2025-05-27T17:42:56Z,782A5533,-93
2025-05-27T17:42:56Z,55334C075C,-95
2025-05-27T17:42:56Z,3378614C,-92
2025-05-27T17:42:56Z,1E4C2D3301,-91
2025-05-27T17:42:56Z,071E6661,-56
2025-05-27T17:42:56Z,66000000,-84
2025-05-27T17:42:56Z,4B525261,-96
2025-05-27T17:42:56Z,614C2D7817,-90
2025-05-27T17:42:56Z,2A664B6106,-97
2025-05-27T17:42:56Z,1966614B6F,-86
2025-05-27T17:42:56Z,78664B2D,-92
2025-05-27T17:42:56Z,4C6178345B,-89
2025-05-27T17:42:56Z,1E340719,-93
2025-05-27T17:42:57Z,34333455,-88
2025-05-27T17:42:57Z,347834614A,-96
2025-05-27T17:42:57Z,4B194C4C,-93
2025-05-27T17:42:57Z,33554B2D78,-89
2025-05-27T17:42:57Z,1966191E,-89
2025-05-27T17:42:57Z,2A19781E,-82
2025-05-27T17:42:57Z,072A6661,-99
2025-05-27T17:42:57Z,192D784C,-87
2025-05-27T17:42:57Z,6655664C,-87
2025-05-27T17:42:57Z,2A55344C,-94
2025-05-27T17:42:57Z,074C5533,-84
2025-05-27T17:42:57Z,5278612D,-91
2025-05-27T17:42:57Z,55191E4B5D,-90
2025-05-27T17:42:57Z,1955611E,-75
2025-05-27T17:42:57Z,2D2D6634,-94
2025-05-27T17:42:57Z,782A784C,-86
2025-05-27T17:42:57Z,192A33335A,-95
2025-05-27T17:42:57Z,34552D4C,-92
2025-05-27T17:42:57Z,1E55614C44,-92
2025-05-27T17:42:57Z,1E4B666162,-96
2025-05-27T17:42:58Z,07335234,-97
2025-05-27T17:42:58Z,4B4C2D2A,-92
2025-05-27T17:42:58Z,0761524B1C,-93
2025-05-27T17:42:58Z,551E4B4C13,-89
